"error","test"
0.112970711297071,"real.data"
0.182242990654206,"real.data"
0.163179916317992,"real.data"
0.108108108108108,"real.data"
0.116731517509728,"real.data"
0.121338912133891,"real.data"
0.138075313807531,"real.data"
0.125,"real.data"
0.15748031496063,"real.data"
0.121338912133891,"real.data"
0.142857142857143,"real.data"
0.104602510460251,"real.data"
0.179166666666667,"real.data"
0.131274131274131,"real.data"
0.476987447698745,"null.model"
0.439252336448598,"null.model"
0.422594142259414,"null.model"
0.463320463320463,"null.model"
0.466926070038911,"null.model"
0.422594142259414,"null.model"
0.422594142259414,"null.model"
0.47265625,"null.model"
0.409448818897638,"null.model"
0.426778242677824,"null.model"
0.471042471042471,"null.model"
0.435146443514644,"null.model"
0.4875,"null.model"
0.482625482625483,"null.model"
0.420454545454545,"null_repeated"
0.473484848484849,"null_repeated"
0.416666666666667,"null_repeated"
0.439393939393939,"null_repeated"
0.46969696969697,"null_repeated"
0.431818181818182,"null_repeated"
0.454545454545455,"null_repeated"
0.431818181818182,"null_repeated"
0.46969696969697,"null_repeated"
0.428030303030303,"null_repeated"
0.420454545454545,"null_repeated"
0.450757575757576,"null_repeated"
0.450757575757576,"null_repeated"
0.458333333333333,"null_repeated"
0.431818181818182,"null_repeated"
0.409090909090909,"null_repeated"
0.477272727272727,"null_repeated"
0.454545454545455,"null_repeated"
0.401515151515151,"null_repeated"
0.462121212121212,"null_repeated"
0.424242424242424,"null_repeated"
0.416666666666667,"null_repeated"
0.416666666666667,"null_repeated"
0.443181818181818,"null_repeated"
0.450757575757576,"null_repeated"
0.46969696969697,"null_repeated"
0.462121212121212,"null_repeated"
0.450757575757576,"null_repeated"
0.458333333333333,"null_repeated"
0.462121212121212,"null_repeated"
0.435606060606061,"null_repeated"
0.473484848484849,"null_repeated"
0.428030303030303,"null_repeated"
0.393939393939394,"null_repeated"
0.435606060606061,"null_repeated"
0.450757575757576,"null_repeated"
0.428030303030303,"null_repeated"
0.465909090909091,"null_repeated"
0.446969696969697,"null_repeated"
0.465909090909091,"null_repeated"
0.465909090909091,"null_repeated"
0.439393939393939,"null_repeated"
0.443181818181818,"null_repeated"
0.439393939393939,"null_repeated"
0.428030303030303,"null_repeated"
0.454545454545455,"null_repeated"
0.446969696969697,"null_repeated"
0.465909090909091,"null_repeated"
0.473484848484849,"null_repeated"
0.431818181818182,"null_repeated"
0.435606060606061,"null_repeated"
0.428030303030303,"null_repeated"
0.439393939393939,"null_repeated"
0.439393939393939,"null_repeated"
0.454545454545455,"null_repeated"
0.424242424242424,"null_repeated"
0.473484848484849,"null_repeated"
0.46969696969697,"null_repeated"
0.428030303030303,"null_repeated"
0.450757575757576,"null_repeated"
0.454545454545455,"null_repeated"
0.435606060606061,"null_repeated"
0.431818181818182,"null_repeated"
0.40530303030303,"null_repeated"
0.46969696969697,"null_repeated"
0.375,"null_repeated"
0.439393939393939,"null_repeated"
0.488636363636364,"null_repeated"
0.435606060606061,"null_repeated"
0.439393939393939,"null_repeated"
0.431818181818182,"null_repeated"
0.443181818181818,"null_repeated"
0.435606060606061,"null_repeated"
0.424242424242424,"null_repeated"
0.477272727272727,"null_repeated"
0.439393939393939,"null_repeated"
0.439393939393939,"null_repeated"
0.443181818181818,"null_repeated"
0.450757575757576,"null_repeated"
0.420454545454545,"null_repeated"
0.454545454545455,"null_repeated"
0.409090909090909,"null_repeated"
0.450757575757576,"null_repeated"
0.481060606060606,"null_repeated"
0.416666666666667,"null_repeated"
0.443181818181818,"null_repeated"
0.446969696969697,"null_repeated"
0.481060606060606,"null_repeated"
0.420454545454545,"null_repeated"
0.465909090909091,"null_repeated"
0.484848484848485,"null_repeated"
0.431818181818182,"null_repeated"
0.424242424242424,"null_repeated"
0.431818181818182,"null_repeated"
0.450757575757576,"null_repeated"
0.420454545454545,"null_repeated"
0.428030303030303,"null_repeated"
0.428030303030303,"null_repeated"
0.450757575757576,"null_repeated"
0.484848484848485,"null_repeated"
